02201911000002AHORA CANARIAS                                    AHORA CANARIAS: Alternativa Nacionalista Canaria (ANC) y Unidad del Pueblo                                                                            000002000002000002
02201911000003ANDECHA                                           ANDECHA ASTUR                                                                                                                                         000003000003000003
02201911000005AUNACV                                            AUNA COMUNITAT VALENCIANA                                                                                                                             000005000005000005
